"tpr","fpr"
0,0
0,0
0,0
0,0
0,0.00208333333333333
0,0.00208333333333333
0,0
0,0
0,0
0,0
0,0.00208333333333333
0,0
0,0
0,0.00208333333333333
0,0
0,0.00416666666666667
0,0.00208333333333333
0,0
0,0
0,0
0,0.00208333333333333
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.00208333333333333
0,0
0,0
0,0.00208333333333333
0,0.00208333333333333
0,0
0,0.00208333333333333
0,0
0,0
0,0.00416666666666667
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.00208333333333333
0,0.00208333333333333
0,0
0,0
0,0
0,0.00416666666666667
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.00208333333333333
0,0.00208333333333333
0,0
0,0
0,0
0,0
0,0
0,0
0,0.00208333333333333
0,0.00416666666666667
0,0
0,0.00416666666666667
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.00208333333333333
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.00208333333333333
0,0.00208333333333333
0,0
0,0.00416666666666667
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.00208333333333333
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.00208333333333333
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.00416666666666667
0,0
0,0.00208333333333333
0,0
0,0
0,0
0,0
0,0
0,0.00208333333333333
0,0
0,0.00416666666666667
0,0
0,0
0.05,0.00208333333333333
0,0.00208333333333333
0,0.00208333333333333
0,0
0,0
0,0.00208333333333333
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.00208333333333333
0,0
0,0.00208333333333333
0,0
0,0
0,0
0,0
0,0
0,0.00208333333333333
0,0
0,0
0,0
0,0.00416666666666667
0,0.00208333333333333
0,0
0,0
0.05,0
0,0.00208333333333333
0,0
0,0
0.05,0
0,0
0,0.00208333333333333
0,0
0,0
0,0
0,0.00208333333333333
0,0.00208333333333333
0,0.00208333333333333
0,0
0,0
0,0.00208333333333333
0,0
0.05,0
0,0.00208333333333333
0,0
0,0
0,0.00208333333333333
0,0
0,0
0,0.00208333333333333
0,0
0,0.00208333333333333
0,0
