"","tpr","fpr"
"k = 1",0,0
"k = 1.5",0.0425,0.00153571428571429
"k = 2",0.110125,0.000583333333333333
"k = 2.5",0.192125,0.000369047619047619
"k = 3",0.25625,0.000166666666666667
"k = 3.5",0.3075,4.76190476190476e-05
"k = 4",0.3459375,7.14285714285714e-05
"k = 4.5",0.376375,8.33333333333333e-05
"k = 5",0.388125,1.19047619047619e-05
