"","tpr","fpr"
"k = 1",0,0
"k = 1.5",0.209,0.043375
"k = 2",0.3895,0.0358541666666667
"k = 2.5",0.51875,0.03046875
"k = 3",0.63,0.0258333333333333
"k = 3.5",0.71725,0.0221979166666667
"k = 4",0.773,0.019875
"k = 4.5",0.80675,0.01846875
"k = 5",0.82075,0.0178854166666667
