"","tpr","fpr"
"k = 1",0,0
"k = 1.1",0.0055,0.00422916666666667
"k = 1.2",0.00675,0.00367708333333333
"k = 1.3",0.00675,0.00361458333333333
"k = 1.4",0.00975,0.00341666666666667
"k = 1.5",0.01325,0.0028125
"k = 1.6",0.01925,0.0029375
"k = 1.7",0.0285,0.00263541666666667
"k = 1.8",0.0555,0.00280208333333333
"k = 1.9",0.082,0.00260416666666667
"k = 2",0.1725,0.00297916666666667
