"","tpr","fpr"
"k = 1",0,0
"k = 1.5",0.04625,0.00219318181818182
"k = 2",0.134333333333333,0.00122727272727273
"k = 2.5",0.223583333333333,0.000534090909090909
"k = 3",0.311,0.000420454545454545
"k = 3.5",0.3985,0.000227272727272727
"k = 4",0.445833333333333,0.000136363636363636
"k = 4.5",0.49025,0.000159090909090909
"k = 5",0.508666666666667,0.000102272727272727
