"","tpr","fpr"
"k = 1",0,0
"k = 1.5",0.06225,0.00342708333333333
"k = 2",0.17825,0.00308333333333333
"k = 2.5",0.3285,0.00244791666666667
"k = 3",0.4485,0.00253125
"k = 3.5",0.54175,0.00184375
"k = 4",0.62125,0.00209375
"k = 4.5",0.6435,0.00172916666666667
"k = 5",0.6865,0.00208333333333333
