"","tpr","fpr"
"k = 1",0,0
"k = 1.5",0.0665,0.0003125
"k = 2",0.3545,0.00109375
"k = 2.5",0.6325,0.00329166666666667
"k = 3",0.78825,0.00641666666666667
"k = 3.5",0.86325,0.0095625
"k = 4",0.893,0.01078125
"k = 4.5",0.9105,0.0122604166666667
"k = 5",0.9095,0.0133333333333333
