"","tpr","fpr"
"b = 0",0,0
"b = 0.2",0.00575,0.00345833333333333
"b = 0.4",0.01325,0.00353125
"b = 0.6",0.026,0.00336458333333333
"b = 0.8",0.04725,0.00267708333333333
"b = 1",0.0785,0.00269791666666667
"b = 1.2",0.13425,0.0026875
"b = 1.4",0.20925,0.00257291666666667
"b = 1.6",0.32875,0.00229166666666667
