"","tpr","fpr"
"b = 0",0,0
"b = 0.2",0.001,0.000604166666666667
"b = 0.4",0.00475,0.000458333333333333
"b = 0.6",0.0235,0.000458333333333333
"b = 0.8",0.44275,0.00172916666666667
"b = 1",0.8795,0.00358333333333333
"b = 1.2",0.9655,0.00452083333333333
"b = 1.4",0.98825,0.00497916666666667
"b = 1.6",0.99825,0.00588541666666667
