"","tpr","fpr"
"k = 1",0,0
"k = 1.5",0.0541,3e-04
"k = 2",0.3935,0.0029625
"k = 2.5",0.6405,0.0074625
"k = 3",0.7793,0.01175
"k = 3.5",0.84265,0.013925
"k = 4",0.87905,0.016425
"k = 4.5",0.90335,0.018625
"k = 5",0.91345,0.019725
