"","tpr","fpr"
"k = 1",0,0
"k = 1.1",0.0475,0.0501041666666667
"k = 1.2",0.06025,0.0495729166666667
"k = 1.3",0.08225,0.04865625
"k = 1.4",0.0945,0.0481458333333333
"k = 1.5",0.12325,0.0469479166666667
"k = 1.6",0.15625,0.0455729166666667
"k = 1.7",0.2095,0.0433541666666667
"k = 1.8",0.27925,0.0404479166666667
"k = 1.9",0.34525,0.0376979166666667
"k = 2",0.44475,0.0335520833333333
