"","tpr","fpr"
"k = 1",0,0
"k = 1.5",0.05475,0.00277173913043478
"k = 2",0.160875,0.00157608695652174
"k = 2.5",0.271625,0.00131521739130435
"k = 3",0.37975,0.00105434782608696
"k = 3.5",0.4815,0.000793478260869565
"k = 4",0.551,0.000510869565217391
"k = 4.5",0.586,0.000673913043478261
"k = 5",0.614875,0.000652173913043478
