"","tpr","fpr"
"k = 1",0,0
"k = 1.5",0.20075,0.0368913043478261
"k = 2",0.34275,0.0245434782608696
"k = 2.5",0.44575,0.0155869565217391
"k = 3",0.527125,0.00851086956521739
"k = 3.5",0.575375,0.00431521739130435
"k = 4",0.5985,0.00230434782608696
"k = 4.5",0.607,0.00156521739130435
"k = 5",0.614625,0.000902173913043478
