"","tpr","fpr"
"k =",0,0
"k = 1.1",0.157,0.00348958333333333
"k = 1.2",0.2155,0.003125
"k = 1.3",0.28425,0.00314583333333333
"k = 1.4",0.379,0.00369791666666667
"k = 1.5",0.483,0.00390625
"k = 1.6",0.52925,0.00328125
"k = 1.7",0.58925,0.00375
"k = 1.8",0.6265,0.00389583333333333
"k = 1.9",0.68225,0.00321875
"k = 2",0.711,0.00353125
