"","tpr","fpr"
"k = 1",0,0
"k = 1.5",0.055375,0.000404761904761905
"k = 2",0.4008125,0.00278571428571429
"k = 2.5",0.6545625,0.00807142857142857
"k = 3",0.7851875,0.0120595238095238
"k = 3.5",0.8519375,0.0151666666666667
"k = 4",0.891625,0.0185238095238095
"k = 4.5",0.90975,0.0198809523809524
"k = 5",0.916125,0.0213809523809524
