"","tpr","fpr"
"k = 1",0,0
"k = 1.5",0.03445,0.0013375
"k = 2",0.0847,0.0003125
"k = 2.5",0.14645,0.0001125
"k = 3",0.1907,1.25e-05
"k = 3.5",0.2199,0
"k = 4",0.223,0
"k = 4.5",0.22065,1.25e-05
"k = 5",0.23435,0
