"","tpr","fpr"
"k = 1",0,0
"k = 1.1",5e-04,0.000625
"k = 1.2",0.00175,0.000364583333333333
"k = 1.3",0.021,0.00046875
"k = 1.4",0.52475,0.00203125
"k = 1.5",0.9275,0.00442708333333333
"k = 1.6",0.975,0.00489583333333333
"k = 1.7",0.97825,0.00527083333333333
"k = 1.8",0.98375,0.00473958333333333
"k = 1.9",0.992,0.00542708333333333
"k = 2",0.99725,0.00542708333333333
