"","tpr","fpr"
"k = 1",0,0
"k = 1.5",0.1553,0.023675
"k = 2",0.2213,0.007175
"k = 2.5",0.24575,0.0010625
"k = 3",0.24915,0.0002125
"k = 3.5",0.2499,2.5e-05
"k = 4",0.25,0
"k = 4.5",0.25,0
"k = 5",0.25,0
