"","tpr","fpr"
"k = 1",0,0
"k = 1.5",0.167875,0.027547619047619
"k = 2",0.257,0.0105714285714286
"k = 2.5",0.2965625,0.00303571428571429
"k = 3",0.3090625,0.000654761904761905
"k = 3.5",0.3120625,8.33333333333333e-05
"k = 4",0.312375,2.38095238095238e-05
"k = 4.5",0.3123125,3.57142857142857e-05
"k = 5",0.3124375,1.19047619047619e-05
