latitude,longitude
51.4774,-0.4824
51.477,-0.5026
51.4767,-0.5232
51.4734,-0.5454
51.461,-0.5626
51.4413,-0.5653
51.4251,-0.5513
51.4115,-0.5272
51.3994,-0.5025
51.3866,-0.4781
51.3601,-0.4273
51.3353,-0.3789
51.3175,-0.3452
51.2965,-0.3055
51.2545,-0.2272
51.2406,-0.1963
51.2279,-0.0843
51.2217,-0.0013
51.2176,0.0532
51.2122,0.1278
51.2069,0.217
51.2078,0.2826
51.2114,0.3931
51.2132,0.4555
51.2123,0.5106
51.2071,0.6085
51.2026,0.704
51.1978,0.8058
51.1934,0.8988
51.1885,0.9978
51.1834,1.1012
51.1783,1.2005
51.173,1.3026
51.1677,1.4048
51.1621,1.5112
51.1561,1.6196
51.1502,1.7249
51.1442,1.8329
51.138,1.9423
51.1316,2.0511
51.1253,2.1585
51.1213,2.2173
51.0997,2.3788
51.0847,2.4931
51.0705,2.6
51.0558,2.7081
51.0401,2.8249
51.0251,2.9342
51.0093,3.0491
50.9937,3.1621
50.9783,3.2723
50.9626,3.3842
50.9474,3.4915
50.9313,3.6039
50.9156,3.7132
50.8997,3.8224
50.8835,3.9336
50.8675,4.043
50.8513,4.1528
50.8352,4.2607
50.8184,4.373
50.8024,4.4793
50.7862,4.586
50.7692,4.6964
50.7521,4.8076
50.7356,4.9136
50.7178,5.0276
50.7013,5.1325
50.6846,5.2379
50.6666,5.3508
50.6485,5.464
50.6318,5.5677
50.6142,5.6761
50.5963,5.7849
50.5785,5.8931
50.5607,6.0008
50.5423,6.1112
50.5244,6.2176
50.5054,6.3304
50.4878,6.4337
50.4689,6.5447
50.4506,6.6507
50.4319,6.7588
50.4132,6.8661
50.3946,6.9726
50.3752,7.0825
50.3565,7.1875
50.3368,7.298
50.3176,7.4052
50.2989,7.5086
50.2785,7.6214
50.2589,7.7281
50.2392,7.8356
50.2185,7.9447
50.1807,8.0764
50.1508,8.1789
50.1193,8.2874
50.0914,8.3826
50.0598,8.4895
50.0303,8.5892
50.0001,8.6903
49.969,8.7943
49.9396,8.8925
49.9097,8.9919
49.8789,9.0938
49.8482,9.1949
49.8163,9.2996
49.7862,9.3981
49.7555,9.498
49.7242,9.5994
49.693,9.6999
49.6619,9.8003
49.6312,9.8984
49.5988,10.0016
49.5679,10.1
49.5371,10.1976
49.5064,10.2943
49.4742,10.3951
49.4417,10.4968
49.4099,10.5957
49.3781,10.6944
49.3456,10.7949
49.3139,10.8925
49.2807,10.9941
49.2485,11.0923
49.216,11.1911
49.1823,11.2933
49.1506,11.3891
49.119,11.484
49.0845,11.5872
49.0513,11.6863
49.0196,11.7802
48.9854,11.8814
48.952,11.98
48.9174,12.0815
48.8855,12.1746
48.8521,12.2724
48.8186,12.3694
48.7853,12.4657
48.752,12.5617
48.719,12.6564
48.6857,12.7518
48.651,12.8507
48.6168,12.9476
48.5826,13.0442
48.5486,13.1401
48.5168,13.2223
48.4758,13.3183
48.438,13.409
48.3999,13.502
48.3611,13.5964
48.3245,13.6848
48.2873,13.7745
48.2492,13.8663
48.2114,13.9566
48.1737,14.0467
48.1354,14.1378
48.0966,14.23
48.061,14.3142
48.0227,14.4043
47.9841,14.4949
47.9451,14.5864
47.9078,14.6734
47.8692,14.763
47.8314,14.8508
47.7923,14.9412
47.7535,15.0305
47.7155,15.1177
47.6774,15.2047
47.6397,15.2909
