latitude,longitude
51.4776,-0.4859
51.4774,-0.5055
51.4769,-0.524
51.4732,-0.5439
51.4612,-0.5567
51.4425,-0.5552
51.4275,-0.5428
51.412,-0.5216
51.3981,-0.4987
51.3755,-0.4605
51.3493,-0.4178
51.3236,-0.3757
51.298,-0.3334
51.2704,-0.2877
51.2445,-0.2442
51.2251,-0.2106
51.2117,-0.1762
51.1945,-0.1125
51.1912,-0.0782
51.1901,0.0006
51.188,0.077
51.1858,0.1565
51.1835,0.2421
51.1814,0.3262
51.1789,0.415
51.1764,0.5086
51.1738,0.595
51.1709,0.6894
51.1679,0.7848
51.1651,0.8757
51.1619,0.9731
51.1584,1.0714
51.1547,1.1816
51.1513,1.2817
51.1475,1.3879
51.1435,1.4964
51.1396,1.5994
51.1352,1.7128
51.1326,1.7719
51.1237,1.8413
51.093,1.9553
51.0679,2.0541
51.0419,2.1564
51.015,2.2606
50.989,2.3604
50.9614,2.4654
50.9335,2.5713
50.9072,2.6715
50.8788,2.7786
50.8515,2.8818
50.8261,2.9774
50.7957,3.0912
50.7677,3.1947
50.7404,3.2955
50.7131,3.3961
50.6847,3.5003
50.6582,3.5972
50.6309,3.6963
50.6048,3.7901
50.5764,3.892
50.5499,3.9873
50.5224,4.0857
50.4949,4.1839
50.4664,4.285
50.4381,4.3849
50.4203,4.4472
50.3922,4.5459
50.3647,4.6419
50.337,4.7381
50.3184,4.8023
50.2897,4.9015
50.2612,4.9996
50.2261,5.1196
50.1959,5.2224
50.1684,5.3159
50.1392,5.4143
50.1101,5.5119
50.0809,5.6105
50.0519,5.7071
50.0221,5.8059
49.991,5.9092
49.9672,5.9878
49.9366,6.0884
49.9063,6.1867
49.8807,6.2708
49.8504,6.3694
49.8203,6.4674
49.7912,6.5608
49.7612,6.6568
49.7313,6.7524
49.702,6.846
49.672,6.9418
49.6433,7.0319
49.6147,7.122
49.5835,7.2198
49.5548,7.31
49.5247,7.4037
49.4954,7.4951
49.4656,7.5868
49.4354,7.6797
49.4066,7.7681
49.3765,7.8601
49.3456,7.9545
49.3166,8.0428
49.2859,8.1415
49.2576,8.2331
49.2285,8.3259
49.1974,8.4242
49.1683,8.516
49.1378,8.6119
49.1083,8.7042
49.0759,8.8052
49.0461,8.8979
49.0165,8.9894
48.9845,9.0881
48.9523,9.1867
48.921,9.2828
48.89,9.3769
48.8581,9.4739
48.8266,9.5693
48.7951,9.6641
48.7634,9.7593
48.7311,9.8558
48.6982,9.9538
48.6658,10.0493
48.6178,10.172
48.5822,10.262
48.5458,10.3556
48.5096,10.4492
48.474,10.5407
48.4373,10.6348
48.4008,10.7277
48.3647,10.8196
48.3289,10.9102
48.2936,10.9994
48.2552,11.0962
48.2187,11.1874
48.182,11.2791
48.1446,11.3723
48.1078,11.4635
48.0716,11.5533
48.0341,11.6454
47.9956,11.7399
47.9597,11.828
47.9221,11.9195
47.8849,12.01
47.8463,12.1034
47.822,12.1583
47.7789,12.2522
47.7381,12.3423
47.6977,12.4319
47.6585,12.5191
47.6172,12.6102
47.5756,12.7017
47.5345,12.7918
47.4954,12.8774
47.4541,12.9672
47.4131,13.0563
47.3707,13.1482
47.33,13.2361
47.2885,13.3254
47.2475,13.4133
47.2047,13.5047
47.1617,13.5964
47.1204,13.684
47.0781,13.7738
47.0368,13.861
46.9952,13.9482
46.9526,14.0374
46.9096,14.1276
46.8687,14.2127
46.8252,14.3029
46.7826,14.3924
46.7366,14.503
46.6982,14.5949
46.6586,14.6875
46.6186,14.7798
46.5796,14.87
46.5391,14.9632
46.5007,15.0512
46.4604,15.1435
46.4202,15.235
46.381,15.3242
46.343,15.4102
46.3031,15.5006
