latitude,longitude
51.4776,-0.475
51.4775,-0.4926
51.477,-0.513
51.4763,-0.5339
51.4693,-0.5537
51.4527,-0.5667
51.4312,-0.5632
51.4163,-0.5465
51.4047,-0.5219
51.3924,-0.4933
51.3762,-0.4611
51.3554,-0.4254
51.3278,-0.3783
51.3062,-0.3408
51.2832,-0.3012
51.2557,-0.2548
51.2402,-0.229
51.2156,-0.1882
51.2039,-0.1563
51.2026,-0.0991
51.2007,-0.0019
51.1997,0.0372
51.1985,0.0837
51.1972,0.1321
51.195,0.216
51.193,0.2842
51.1904,0.3738
51.1878,0.4657
51.1848,0.5621
51.1818,0.6544
51.1788,0.7489
51.1756,0.8456
51.172,0.945
51.1686,1.0428
51.165,1.1453
51.1613,1.246
51.1574,1.3491
51.1535,1.453
51.1506,1.525
51.1441,1.5973
51.1275,1.732
51.1145,1.8424
51.1009,1.9553
51.0878,2.0632
51.0748,2.1696
51.061,2.2822
51.0472,2.394
51.0331,2.5067
51.0189,2.6194
51.0045,2.7331
50.9898,2.8487
50.9748,2.9642
50.9598,3.0797
50.9445,3.1957
50.9286,3.3162
50.9136,3.4281
50.8979,3.5448
50.8819,3.6628
50.8663,3.7775
50.8502,3.8946
50.8342,4.0099
50.8136,4.1565
50.7977,4.2698
50.7816,4.3821
50.7647,4.5001
50.7482,4.6142
50.7318,4.7274
50.7142,4.8471
50.6984,4.9542
50.6814,5.068
50.6636,5.182
50.6479,5.2503
50.6104,5.3868
50.5941,5.4467
50.5708,5.5625
50.5554,5.6418
50.5341,5.7489
50.5112,5.8636
50.4879,5.9803
50.4549,6.1448
50.4331,6.2528
50.4104,6.3643
50.388,6.4736
50.3632,6.5938
50.3412,6.6998
50.3186,6.8084
50.2948,6.922
50.2708,7.0359
50.2482,7.1425
50.2246,7.2533
50.1998,7.3691
50.1763,7.4784
50.1523,7.5894
50.1285,7.6985
50.1045,7.8082
50.0793,7.9226
50.0545,8.0348
50.0312,8.14
50.0055,8.2549
49.9811,8.3631
49.9556,8.4757
49.9301,8.5883
49.904,8.7023
49.8783,8.814
49.852,8.9254
49.8338,8.9878
49.8005,9.0941
49.7671,9.2042
49.736,9.3094
49.7053,9.4136
49.6735,9.5208
49.6401,9.6326
49.6091,9.7352
49.5771,9.8415
49.5431,9.9535
49.5136,10.0503
49.4826,10.1518
49.449,10.2614
49.4161,10.3681
49.3845,10.4704
49.3518,10.5754
49.3167,10.6882
49.2823,10.7976
49.2492,10.9027
49.2156,11.0092
49.181,11.118
49.1457,11.2284
49.1113,11.3357
49.0769,11.4428
49.0408,11.5543
49.007,11.6586
48.9701,11.7717
48.9333,11.884
48.8967,11.9953
48.8603,12.1053
48.8239,12.2155
48.787,12.3258
48.7509,12.4336
48.7132,12.5457
48.6756,12.6573
48.6401,12.762
48.6021,12.8736
48.5653,12.9811
48.5282,13.0888
48.4911,13.1967
48.4533,13.3061
48.4161,13.413
48.3789,13.5194
48.3399,13.6307
48.3008,13.7419
48.264,13.8461
48.2273,13.9493
48.1885,14.0583
48.1528,14.1579
48.1121,14.2712
48.0753,14.3735
48.038,14.4759
48.0016,14.576
47.9653,14.6753
47.9283,14.7769
47.8901,14.8806
47.855,14.9755
47.8172,15.0777
47.779,15.1804
47.7403,15.2839
47.704,15.3807
47.6664,15.4811
47.6284,15.5811
47.5906,15.681
47.5534,15.7788
47.5158,15.8773
47.4783,15.9753
47.4397,16.0753
47.4035,16.1693
47.3644,16.2701
47.3253,16.3706
47.2874,16.4642
47.2644,16.5129
47.2163,16.6029
47.1649,16.7004
47.1172,16.7905
47.0699,16.879
47.0221,16.9683
46.9748,17.0563
46.9269,17.145
46.881,17.2299
