latitude,longitude
51.4651,-0.4763
51.4653,-0.4939
51.465,-0.5123
51.4629,-0.5308
51.4509,-0.5464
51.4348,-0.5473
51.4184,-0.5334
51.3525,-0.4231
51.3258,-0.3797
51.2998,-0.3371
51.2711,-0.2895
51.2433,-0.2435
51.2292,-0.2203
51.2132,-0.1933
51.2011,-0.1538
51.1995,-0.1108
51.199,0.0274
51.1985,0.1073
51.1978,0.1976
51.1971,0.2819
51.1962,0.3732
51.1953,0.4667
51.1948,0.5567
51.1944,0.6511
51.1942,0.7178
51.1829,0.853
51.1728,0.9492
51.1626,1.0457
51.1529,1.1426
51.1432,1.2439
51.1336,1.3446
51.1243,1.4445
51.1143,1.5511
51.1048,1.6514
51.0947,1.7579
51.0851,1.8605
51.0768,1.9488
51.0606,2.081
51.0472,2.1888
51.0344,2.2955
51.0212,2.4057
51.0075,2.5182
50.9942,2.6271
50.9804,2.7392
50.966,2.855
50.952,2.9668
50.9384,3.0746
50.9239,3.1887
50.9095,3.3001
50.8944,3.4167
50.88,3.5278
50.8648,3.6428
50.8504,3.7516
50.8355,3.8633
50.8201,3.9779
50.8049,4.0897
50.79,4.198
50.7741,4.314
50.7589,4.4231
50.7431,4.5352
50.7273,4.6474
50.7114,4.7597
50.6956,4.8698
50.6805,4.9749
50.6633,5.0928
50.6431,5.2309
50.6272,5.3386
50.6107,5.4501
50.586,5.6143
50.5695,5.7235
50.556,5.8121
50.532,5.9683
50.5141,6.084
50.497,6.1938
50.4861,6.2587
50.4508,6.4151
50.428,6.5182
50.4051,6.6262
50.3824,6.7326
50.36,6.8366
50.3363,6.9463
50.3137,7.0498
50.2906,7.1555
50.2678,7.2597
50.2433,7.3703
50.2195,7.4774
50.197,7.5786
50.1731,7.6849
50.149,7.792
50.1241,7.9018
50.1007,8.0044
50.0847,8.0712
50.0558,8.1703
50.0261,8.2706
49.9967,8.3735
49.9684,8.4733
49.9392,8.5761
49.91,8.678
49.8807,8.7798
49.852,8.8788
49.8233,8.9782
49.7939,9.0791
49.7641,9.181
49.7332,9.2863
49.7038,9.3859
49.6743,9.4855
49.6448,9.5848
49.6144,9.6867
49.5854,9.7835
49.5553,9.8835
49.5132,10.0077
49.4796,10.1044
49.4466,10.201
49.4117,10.3035
49.38,10.3963
49.3469,10.4929
49.3134,10.5899
49.2798,10.6872
49.2469,10.7818
49.2119,10.8825
49.1784,10.9782
49.1451,11.0732
49.1107,11.1706
49.0776,11.2642
49.0428,11.3625
49.0079,11.4604
48.9744,11.5541
48.9393,11.6515
48.9051,11.7466
48.8709,11.8412
48.8361,11.9371
48.8007,12.0343
48.7658,12.1298
48.731,12.2247
48.6971,12.3167
48.6615,12.4131
48.6248,12.512
48.5904,12.6044
48.5538,12.7021
48.5196,12.7934
48.4832,12.8901
48.4464,12.9877
48.4104,13.0828
48.3739,13.1785
48.3398,13.2677
48.3023,13.3657
48.2679,13.455
48.2308,13.5513
48.1949,13.644
48.1592,13.7359
48.1228,13.8293
