latitude,longitude
51.4777,-0.4742
51.4779,-0.4922
51.4775,-0.5116
51.4769,-0.5296
51.4691,-0.5514
51.4552,-0.5602
51.4382,-0.555
51.4177,-0.531
51.4049,-0.5099
51.3905,-0.4847
51.3743,-0.4575
51.359,-0.433
51.3343,-0.4009
51.3019,-0.3631
51.271,-0.327
51.2371,-0.2873
51.2054,-0.2495
51.1911,-0.2261
51.1831,-0.1888
51.1793,-0.1347
51.1729,-0.0312
51.1686,0.0413
51.1636,0.1226
51.1627,0.1782
51.1667,0.2816
51.1703,0.3737
51.1734,0.4608
51.1757,0.5495
51.1738,0.6689
51.1722,0.7298
51.1638,0.8524
51.1569,0.9491
51.15,1.0449
51.143,1.1429
51.1363,1.2373
51.1289,1.3373
51.1217,1.4359
51.1141,1.5381
51.1067,1.6365
51.099,1.7366
51.0906,1.8419
51.0824,1.9464
51.0773,2.0084
51.0664,2.0785
51.0405,2.1915
51.0181,2.2939
50.9963,2.393
50.9738,2.4947
50.9505,2.5989
50.9282,2.6989
50.9054,2.8008
50.8821,2.9042
50.8593,3.0048
50.8362,3.1065
50.8117,3.2138
50.7879,3.3172
50.764,3.421
50.7383,3.5319
50.7157,3.6285
50.6905,3.7363
50.6649,3.845
50.6406,3.9478
50.616,4.0514
50.5909,4.1565
50.566,4.2599
50.5406,4.3651
50.5161,4.4663
50.4909,4.5698
50.4645,4.678
50.4401,4.7773
50.4144,4.8812
50.3889,4.9842
50.3632,5.0872
50.3374,5.1902
50.312,5.2914
50.2855,5.3962
50.2595,5.4988
50.2336,5.6002
50.1957,5.7482
50.1692,5.8506
50.1425,5.9527
50.1274,6.0033
50.0936,6.1048
50.0608,6.2055
50.0306,6.3007
49.9986,6.4019
49.9666,6.5023
49.9355,6.5997
49.9029,6.7009
49.8717,6.7978
49.8393,6.8976
49.8202,6.9566
49.7886,7.0535
49.7561,7.1528
49.7234,7.2524
49.6914,7.3494
49.6582,7.4497
49.6248,7.5501
49.5921,7.6484
49.5608,7.7418
49.5267,7.8431
49.4944,7.9388
49.4609,8.0376
49.4285,8.1331
49.3956,8.2293
49.3615,8.3289
49.3282,8.4255
49.2958,8.5194
49.2618,8.6175
49.2287,8.7127
49.1939,8.8123
49.161,8.9061
49.1262,9.0053
49.0919,9.1023
49.057,9.2006
49.0236,9.2944
48.9884,9.393
48.955,9.4861
48.9202,9.5829
48.8857,9.6785
48.8505,9.7754
48.8154,9.8721
48.7799,9.9693
48.7442,10.0664
48.7091,10.1617
48.674,10.2571
48.6383,10.3532
48.6019,10.451
48.5679,10.5424
48.5313,10.64
48.4954,10.7353
48.4601,10.8291
48.4234,10.9258
48.387,11.0214
48.3498,11.1189
48.315,11.2099
48.2785,11.305
48.241,11.402
48.2051,11.4949
48.1691,11.5875
48.1308,11.6858
48.0949,11.7778
48.0581,11.8712
48.02,11.9681
47.9832,12.0609
47.9465,12.1536
47.9094,12.2466
47.8721,12.34
47.8451,12.3991
47.7996,12.4864
47.7549,12.5734
47.7094,12.6624
47.6608,12.7567
47.6179,12.8395
47.573,12.9262
47.5289,13.0113
47.4832,13.0989
47.4386,13.1842
47.3929,13.2713
47.3478,13.3571
47.303,13.442
47.2575,13.528
47.2113,13.6149
47.1671,13.6978
47.1232,13.7798
47.0773,13.8655
47.0333,13.9478
46.9862,14.0349
46.9383,14.1231
46.8912,14.21
46.8458,14.2938
46.8004,14.3767
46.7556,14.4585
46.7091,14.5432
46.6674,14.6276
46.6101,14.7584
46.5719,14.8414
46.5305,14.9298
46.4842,15.0282
46.439,15.1241
46.3976,15.2121
46.3564,15.2989
46.315,15.3862
46.2735,15.4733
46.2288,15.5668
46.1922,15.6466
46.1554,15.7443
46.12,15.838
46.0801,15.9383
46.0423,16.0323
46.004,16.1274
45.9672,16.2186
45.9303,16.3096
45.8952,16.396
45.8587,16.4858
45.8215,16.5766
45.7843,16.6675
45.7473,16.7577
45.7098,16.8485
45.6723,16.9388
45.6344,17.0299
45.5973,17.1189
45.5598,17.2083
45.5217,17.2991
45.4844,17.3878
45.4465,17.4776
45.4099,17.5639
45.3713,17.6548
45.3325,17.7459
45.2959,17.8314
45.2573,17.9216
45.2204,18.007
45.1818,18.0963
45.143,18.1861
45.1049,18.2737
45.0657,18.3635
45.0248,18.4574
44.9834,18.5515
44.9387,18.6532
44.8989,18.7432
44.8582,18.8351
44.819,18.9231
44.7724,19.0277
44.7302,19.1218
44.6901,19.2112
44.6509,19.2982
44.6103,19.3879
44.5686,19.4801
44.5297,19.5656
44.487,19.6591
44.429,19.7858
44.3867,19.8777
44.3385,19.9823
44.294,20.0784
44.2538,20.1649
44.2064,20.2668
44.1662,20.3532
44.1254,20.4401
44.0765,20.5435
44.0366,20.6282
43.9949,20.7164
43.955,20.8007
43.913,20.8885
43.8706,20.9781
43.85,21.0386
43.8391,21.1174
43.8335,21.2139
43.8256,21.3117
43.8175,21.4141
43.8103,21.5103
43.8025,21.6108
43.7943,21.7176
43.7866,21.8164
43.7789,21.9135
43.7713,22.0101
43.7631,22.1103
43.7556,22.202
43.7473,22.3028
43.7386,22.4063
43.7302,22.506
43.7219,22.6023
43.7138,22.6984
43.7052,22.7964
43.6964,22.8962
43.6876,22.9956
43.679,23.0897
43.6698,23.1901
43.6605,23.2911
43.652,23.3831
43.6426,23.4831
43.6328,23.586
43.6237,23.681
43.6139,23.7831
43.6047,23.8772
43.5949,23.9771
43.5853,24.0735
43.5752,24.1744
43.5656,24.2693
43.5559,24.3644
43.5459,24.4622
43.5359,24.5584
43.5257,24.6559
43.5153,24.7539
43.5049,24.8518
43.4944,24.9505
43.4839,25.0468
43.4729,25.1482
43.4626,25.2424
43.4517,25.34
43.4406,25.4392
43.4299,25.535
43.4187,25.6331
43.4076,25.7296
43.3966,25.8257
43.3856,25.9202
43.3738,26.022
43.3626,26.1161
43.3514,26.2105
43.3401,26.3051
43.3285,26.4011
43.3167,26.4986
43.3048,26.5957
43.293,26.6917
43.2799,26.7963
43.2682,26.89
43.2561,26.9864
43.2433,27.0874
43.2311,27.183
