latitude,longitude
51.4773,-0.4853
51.4771,-0.508
51.4766,-0.527
51.4733,-0.5535
51.47,-0.5766
51.4649,-0.6094
51.4558,-0.6342
51.44,-0.6478
51.4204,-0.6468
51.4029,-0.6338
51.3769,-0.6085
51.3478,-0.5833
51.3257,-0.5696
51.3017,-0.5567
51.2824,-0.5497
51.2616,-0.542
51.2391,-0.5314
51.2022,-0.5134
51.1641,-0.4942
51.128,-0.4757
51.0869,-0.4547
51.0403,-0.4308
51.0117,-0.411
50.9616,-0.3719
50.9173,-0.3385
50.8682,-0.3015
50.8189,-0.2643
50.7703,-0.2275
50.7216,-0.191
50.6731,-0.1547
50.6251,-0.1189
50.5751,-0.0815
50.5248,-0.0444
50.4726,-0.0054
50.4382,0.0267
50.3787,0.1008
50.3279,0.1625
50.2768,0.2237
50.2255,0.2853
50.1715,0.3501
50.114,0.419
50.0845,0.4576
50.0219,0.5571
49.9723,0.6346
49.9228,0.7116
49.8724,0.7897
49.8202,0.8703
49.7689,0.9489
49.7151,1.0313
49.6637,1.1099
49.6077,1.1949
49.5553,1.2731
49.5009,1.3547
49.4483,1.4336
49.388,1.5232
49.3131,1.6223
49.2554,1.6963
49.196,1.7724
49.1409,1.8429
49.082,1.9176
49.0231,1.9909
48.9648,2.0627
48.9067,2.1352
48.877,2.1759
48.8522,2.2237
48.8107,2.3557
48.7778,2.4635
48.7455,2.5638
48.7118,2.6694
48.6786,2.7737
48.6469,2.8734
48.611,2.9857
48.581,3.0838
48.5614,3.1669
48.5416,3.2849
48.5299,3.4074
48.5254,3.4983
48.5033,3.6558
48.4866,3.7769
48.4717,3.8881
48.4562,4.003
48.4391,4.1283
48.4233,4.2432
48.4082,4.3518
48.3925,4.4644
48.3761,4.5807
48.3599,4.6948
48.344,4.8061
48.3274,4.9218
48.3109,5.0352
48.2934,5.1549
48.2773,5.2637
48.2603,5.3783
48.2435,5.4906
48.2264,5.6043
48.2091,5.7185
48.1969,5.7893
48.1737,5.8637
48.1283,5.9783
48.0893,6.0831
48.0522,6.1824
48.0155,6.2793
47.9759,6.3831
47.9373,6.4836
47.8984,6.585
47.8605,6.6833
47.8215,6.784
47.7829,6.8833
47.7445,6.9819
47.7049,7.0831
47.6656,7.1831
47.6274,7.2801
47.5875,7.3808
47.5484,7.4792
47.5086,7.5792
47.47,7.6756
47.4301,7.7747
47.3905,7.8731
47.3513,7.9697
47.3102,8.0711
47.2715,8.1662
47.2311,8.2651
47.1923,8.3594
47.1516,8.4584
47.112,8.5541
47.0704,8.6543
47.0302,8.7508
46.9894,8.8486
46.9499,8.9427
46.9084,9.0415
46.8672,9.1388
46.8272,9.2332
46.7863,9.3293
46.7456,9.4248
46.7052,9.5193
46.6643,9.6143
46.6228,9.7108
46.5911,9.7928
46.5563,9.8955
46.5198,10.0004
46.4837,10.1033
46.4484,10.2035
46.4128,10.3043
46.377,10.4051
46.3419,10.5033
46.3048,10.6074
46.2704,10.7032
46.233,10.8071
46.1967,10.9076
46.1605,11.0072
