latitude,longitude
51.4777,-0.4815
51.4774,-0.5003
51.477,-0.5195
51.4739,-0.5423
51.4637,-0.5564
51.4466,-0.5592
51.4293,-0.5478
51.4124,-0.5254
51.3986,-0.5016
51.3839,-0.4761
51.3676,-0.4539
51.3446,-0.4246
51.3138,-0.3851
51.2813,-0.3427
51.2499,-0.3012
51.2232,-0.2652
51.2106,-0.2347
51.1946,-0.1393
51.19,-0.0839
51.1874,0.0254
51.1828,0.1894
51.1807,0.2846
51.1788,0.3799
51.1767,0.4775
51.1743,0.5778
51.1717,0.6797
51.169,0.7825
51.1663,0.8829
51.1634,0.9898
51.1604,1.0974
51.1572,1.2024
51.154,1.3102
51.1506,1.4185
51.1473,1.5229
51.1434,1.6392
51.1397,1.7484
51.1319,1.8202
51.0965,1.947
51.0672,2.0505
51.037,2.1614
51.0073,2.2691
50.9785,2.3718
50.949,2.4765
50.9172,2.5893
50.8869,2.6957
50.8562,2.8035
50.8253,2.9115
50.793,3.0237
50.7612,3.1336
50.7303,3.2398
50.6975,3.3522
50.6657,3.4606
50.6337,3.5695
50.6003,3.6824
50.5678,3.7918
50.5357,3.8994
50.5029,4.009
50.4706,4.116
50.4383,4.2227
50.4052,4.3316
50.373,4.4372
50.3391,4.5477
50.3133,4.6316
50.2885,4.7118
50.255,4.8199
50.2212,4.9282
50.1873,5.0368
50.1542,5.142
50.119,5.2539
50.0857,5.3587
50.053,5.4617
50.0187,5.569
49.9845,5.675
49.9505,5.7809
49.9164,5.8862
49.8822,5.9912
49.8479,6.0964
49.8131,6.2024
49.7774,6.3108
49.7442,6.4113
49.7094,6.5162
49.6742,6.6217
49.639,6.727
49.6048,6.8287
49.5696,6.9332
49.5344,7.0368
49.5013,7.1355
49.4624,7.2936
49.4445,7.3824
49.4223,7.5165
49.4043,7.625
49.3854,7.7378
49.3671,7.8486
49.3483,7.9609
49.3278,8.0356
49.2935,8.1046
49.2232,8.1977
49.1689,8.271
49.1139,8.3445
49.0584,8.4178
49.002,8.4922
48.947,8.5644
48.8911,8.6379
48.8376,8.7085
48.7796,8.7848
48.7248,8.8562
48.6673,8.9312
48.6114,9.0038
48.555,9.0767
48.4982,9.15
48.4387,9.2267
48.384,9.2969
48.3262,9.3708
48.2693,9.4432
48.212,9.5166
48.1565,9.5887
48.0975,9.6654
48.0408,9.7384
47.9969,9.7958
47.9713,9.8406
47.9456,9.9078
47.9107,10.0057
47.8718,10.1096
47.8342,10.2086
47.7963,10.3081
47.759,10.4064
47.7213,10.5055
47.6848,10.6007
47.6469,10.6997
47.6099,10.7956
47.5718,10.8941
47.5358,10.987
47.4972,11.0861
47.4605,11.18
47.4215,11.2794
47.3804,11.3838
47.3418,11.4814
47.3039,11.5769
47.2657,11.6729
47.2277,11.7681
47.1875,11.8683
47.1508,11.9595
47.1117,12.0565
47.0738,12.15
47.0363,12.2421
47.0,12.3324
46.9498,12.4643
46.915,12.5549
46.878,12.6503
46.8432,12.7394
46.8081,12.8298
46.7721,12.9215
46.7358,13.0132
46.7004,13.1032
46.6656,13.1912
46.6291,13.2826
46.5936,13.372
46.5592,13.4581
46.5402,13.5121
46.5108,13.6056
46.4811,13.6971
46.4502,13.7915
46.4201,13.8843
46.3899,13.9765
46.3591,14.0704
46.3278,14.1655
46.2976,14.2567
46.2661,14.3518
46.2348,14.4457
46.2043,14.5372
46.1718,14.634
46.1404,14.7272
46.1084,14.822
46.0757,14.9182
46.043,15.0143
46.013,15.1021
45.9787,15.2025
45.9385,15.3192
45.9055,15.4145
45.8734,15.5073
45.8367,15.6126
45.8035,15.7077
45.771,15.8003
45.7384,15.8928
45.7047,15.9883
45.6729,16.078
45.6404,16.1693
45.6086,16.2587
45.5722,16.3602
45.5411,16.4467
45.5085,16.5372
45.4744,16.6316
45.4413,16.7224
45.4064,16.8183
45.374,16.9069
45.3407,16.9977
45.3077,17.0877
45.2734,17.1801
45.2396,17.2719
45.2065,17.3606
45.1725,17.4517
45.1398,17.5391
45.1063,17.6285
45.0695,17.7258
45.0329,17.8228
45.0001,17.9092
44.9641,18.0037
44.93,18.0931
44.8922,18.1919
44.857,18.2832
44.8229,18.3719
44.7891,18.4593
44.7551,18.5468
44.7202,18.6361
44.6855,18.7254
44.6465,18.8248
44.6125,18.9112
44.5718,19.0149
44.5378,19.1005
44.5019,19.191
44.467,19.2785
44.4319,19.3663
44.3975,19.4522
44.3627,19.5386
44.3284,19.6236
44.2929,19.7115
44.2577,19.7981
44.2235,19.8822
44.186,19.9741
44.1519,20.0573
44.115,20.1472
44.0824,20.2262
44.0466,20.3129
44.0111,20.3985
43.9755,20.4841
43.9367,20.5771
43.9017,20.6608
43.8677,20.7419
43.8329,20.8246
43.7972,20.9092
43.7607,20.9956
43.7255,21.0786
43.691,21.1597
43.6551,21.2436
43.6196,21.3266
43.584,21.4095
43.5496,21.4893
