latitude,longitude
51.4648,-0.444
51.4651,-0.4218
51.4631,-0.4012
51.4557,-0.3794
51.4489,-0.3597
51.4388,-0.3329
51.4324,-0.3044
51.4266,-0.2707
51.4247,-0.2371
51.4242,-0.2062
51.4237,-0.171
51.4231,-0.1343
51.422,-0.0808
51.4212,-0.0294
51.4203,0.0287
51.4195,0.084
51.4188,0.141
51.4183,0.1724
51.4173,0.2291
51.4166,0.2686
51.4162,0.3293
51.4118,0.3743
51.3989,0.4524
51.3867,0.5255
51.3738,0.6028
51.3607,0.6813
51.3466,0.7648
51.3323,0.8495
51.3182,0.933
51.3031,1.0216
51.2879,1.1101
51.2729,1.197
51.2575,1.2856
51.2404,1.3838
51.2246,1.4734
51.2086,1.5649
51.1872,1.7079
51.175,1.8072
51.1636,1.9086
51.1527,2.0069
51.1414,2.1063
51.1296,2.2068
51.117,2.3123
51.1047,2.4137
51.0913,2.5235
51.0789,2.6239
51.066,2.7271
51.0534,2.8281
51.0401,2.933
51.0269,3.0359
51.0136,3.1393
51.0001,3.2426
50.9868,3.3447
50.973,3.4501
50.96,3.5489
50.946,3.6533
50.9269,3.7958
50.9161,3.8751
50.9054,3.9535
50.8915,4.0556
50.877,4.1605
50.8634,4.2591
50.8537,4.3281
50.8458,4.3842
50.831,4.4892
50.8167,4.5897
50.8025,4.6888
50.788,4.7897
50.7733,4.891
50.7583,4.9942
50.7431,5.0973
50.7282,5.1979
50.7132,5.2988
50.7043,5.3585
50.681,5.5129
50.6668,5.6063
50.6569,5.6715
50.6422,5.767
50.6256,5.8749
50.61,5.9753
50.5938,6.0792
50.5776,6.1822
50.5618,6.2817
50.5455,6.3843
50.5294,6.485
50.5122,6.5918
50.4956,6.6937
50.4795,6.793
50.4618,6.9008
50.4464,6.9934
50.429,7.0989
50.4121,7.1993
50.3948,7.3021
50.3776,7.4037
50.3601,7.5068
50.3426,7.6087
50.3251,7.7111
50.3086,7.8065
50.2993,7.8618
50.2815,8.0239
50.2727,8.1273
50.2633,8.234
50.2534,8.3475
50.2443,8.451
50.2349,8.5583
50.2254,8.6654
50.2158,8.7729
50.206,8.8807
50.1959,8.991
50.1861,9.0967
50.176,9.2042
50.1655,9.315
50.1551,9.4234
50.1449,9.5293
50.1344,9.6365
50.1239,9.7436
50.1127,9.8562
50.1018,9.965
50.0909,10.0728
50.0799,10.1832
50.0756,10.252
50.0741,10.3683
50.0741,10.4517
50.0629,10.5894
50.0513,10.701
50.0379,10.8094
50.0236,10.9154
50.0093,11.0236
49.9953,11.1307
49.9814,11.236
49.9675,11.3415
49.9522,11.4568
49.9376,11.5643
49.9233,11.6692
49.9083,11.7777
49.8936,11.882
49.8788,11.9872
49.8638,12.0932
49.8487,12.199
49.8337,12.3035
49.818,12.4055
49.7927,12.5033
49.7714,12.5649
49.7263,12.6685
49.6878,12.7536
49.6484,12.8388
49.6081,12.9203
49.5645,13.0037
49.5216,13.0827
49.4762,13.1649
49.432,13.2442
49.3885,13.3222
49.3445,13.4009
49.2999,13.4804
49.2547,13.5611
49.2114,13.6383
49.1682,13.7151
49.1241,13.7935
49.0806,13.8704
49.0358,13.9493
48.9923,14.0256
48.9477,14.1038
48.9024,14.1831
48.8586,14.2595
48.8137,14.3378
48.7685,14.4165
48.7258,14.4904
48.6838,14.5629
48.6383,14.6413
48.5962,14.7135
48.5525,14.7883
48.5087,14.8631
48.4629,14.9411
48.4204,15.0135
48.3754,15.0895
48.3319,15.1629
48.2884,15.2362
48.2445,15.31
48.2008,15.3831
48.1572,15.4559
48.1127,15.5301
48.0688,15.603
48.0258,15.6742
47.9821,15.7466
47.9383,15.8184
47.8941,15.891
47.85,15.9631
47.8086,16.031
47.7658,16.1006
47.721,16.1733
47.6763,16.2458
47.6325,16.3167
47.5901,16.385
47.5459,16.456
47.5019,16.5267
47.4588,16.5955
47.4162,16.6634
47.3714,16.7347
47.3277,16.8041
47.2824,16.8758
47.2386,16.945
47.1935,17.016
47.1508,17.0829
47.106,17.1532
47.0621,17.2216
47.0185,17.2897
46.9719,17.3621
46.927,17.4316
46.8821,17.5009
46.8395,17.5667
46.7947,17.6355
46.7506,17.7033
46.7064,17.7709
46.6612,17.8398
46.6165,17.9077
46.5695,17.9791
46.5256,18.0457
46.4819,18.1116
46.4359,18.1809
46.3918,18.2472
46.3468,18.3145
46.3031,18.3799
46.2579,18.4474
46.2102,18.5183
46.1664,18.5834
46.119,18.6535
46.0751,18.7183
46.0289,18.7862
45.9833,18.8533
45.9389,18.9184
45.8924,18.9852
45.8453,19.0506
45.7963,19.1187
45.7488,19.1849
45.7022,19.2498
45.6557,19.3144
45.6085,19.38
45.5615,19.445
45.5123,19.5127
45.4649,19.578
45.4173,19.6434
45.3715,19.7062
45.3259,19.7684
45.2749,19.8377
45.2272,19.9026
45.1793,19.9675
45.1324,20.0308
45.0866,20.0926
45.0379,20.1581
44.9914,20.2206
44.9432,20.2852
44.8946,20.3501
44.844,20.4175
44.7989,20.4774
44.7472,20.5459
44.7032,20.6041
44.654,20.6691
44.606,20.7323
44.558,20.7954
44.5085,20.8603
44.4573,20.9271
44.4072,20.9925
44.3575,21.057
44.3088,21.1203
44.2598,21.1838
44.2108,21.247
44.1607,21.3115
44.1115,21.3747
44.0579,21.4434
44.0094,21.5055
43.9561,21.5734
43.9065,21.6365
43.8572,21.6991
43.8088,21.761
43.7734,21.8259
43.7588,21.8705
43.7492,21.9245
43.7415,22.0304
43.7349,22.1326
43.7285,22.2333
43.7221,22.3296
43.7155,22.426
43.7088,22.5213
43.702,22.6178
43.6952,22.7115
43.6883,22.8055
43.6812,22.9037
43.6735,22.9988
43.6647,23.0941
43.6561,23.1878
43.6474,23.2835
43.6388,23.377
43.6301,23.4722
43.6213,23.5683
43.6123,23.6633
43.6034,23.7585
43.5941,23.8566
43.5849,23.952
43.5758,24.0456
43.5662,24.1435
43.5568,24.2379
43.5474,24.3327
43.538,24.4259
43.5283,24.5215
43.5186,24.6162
43.509,24.7098
43.4993,24.8029
43.4894,24.8968
43.4794,24.9911
43.4695,25.0842
43.4588,25.1836
43.4487,25.2776
43.4383,25.3717
43.4281,25.4652
43.4177,25.5587
43.4074,25.6513
43.3968,25.7451
43.3862,25.8379
43.3756,25.931
43.3649,26.0238
43.3542,26.1157
43.3432,26.2097
43.3326,26.2995
43.3216,26.3934
43.3102,26.4884
43.299,26.5811
43.288,26.6728
43.2766,26.7661
43.2651,26.8591
43.2536,26.9514
43.2421,27.0441
43.2305,27.1367
43.2188,27.2291
43.2074,27.3191
43.1955,27.4115
43.1835,27.5041
43.1701,27.6077
43.1586,27.6961
43.1464,27.7888
43.1341,27.8814
43.1219,27.9733
43.1093,28.0669
43.0969,28.1591
43.0845,28.2504
43.0717,28.3439
43.0591,28.4354
43.0465,28.5271
43.0334,28.6205
43.0204,28.713
43.0072,28.8071
42.9938,28.9018
42.9809,28.9918
42.9672,29.0867
42.9538,29.1792
42.9403,29.2722
42.9267,29.3658
42.912,29.4651
42.8981,29.5593
42.8845,29.6506
42.8703,29.7451
42.8562,29.8391
42.8421,29.9316
42.8276,30.0266
42.8131,30.1213
42.7987,30.2143
42.7837,30.3113
42.7689,30.406
42.7541,30.5002
42.7381,30.6017
42.7185,30.707
42.6997,30.7989
42.6805,30.8937
42.662,30.9868
42.6438,31.078
42.6257,31.1692
42.5992,31.3022
42.5798,31.3995
42.5608,31.4936
42.542,31.5859
42.5216,31.6858
42.5028,31.7775
42.4836,31.8707
42.464,31.9654
42.445,32.0567
42.4215,32.1686
42.3992,32.275
42.3794,32.3685
42.3595,32.4625
42.3381,32.5692
42.323,32.6776
42.3122,32.7733
42.3014,32.8682
42.2905,32.9639
42.2794,33.0603
42.2682,33.1563
42.2567,33.2533
42.2454,33.3486
42.234,33.4445
42.2226,33.5397
42.2109,33.6359
42.1992,33.7317
42.1876,33.827
42.1755,33.9247
42.1637,34.0199
42.1518,34.1152
42.1392,34.2145
42.1271,34.3098
42.1136,34.416
42.1002,34.5167
42.0868,34.6125
42.0732,34.7091
42.0599,34.803
42.046,34.9016
42.0328,34.9982
42.0205,35.1174
42.0126,35.2609
42.0074,35.358
42.0022,35.4563
41.9969,35.5521
41.991,35.6566
41.9854,35.7537
41.9799,35.8498
41.974,35.9498
41.9681,36.0489
41.9621,36.1482
41.9557,36.2516
41.9495,36.3508
41.9434,36.4493
41.9371,36.5471
41.9307,36.6462
41.9243,36.7449
41.9177,36.8427
41.9111,36.9402
41.9032,37.0176
41.8795,37.123
41.8411,37.2454
41.8123,37.3365
41.7833,37.4277
41.7539,37.5199
41.7248,37.611
41.6961,37.7009
41.6666,37.793
41.6374,37.8839
41.6079,37.9751
41.5786,38.0656
41.5472,38.1619
41.5178,38.2518
41.4882,38.3422
41.4579,38.4345
41.428,38.525
41.398,38.6158
41.3677,38.7069
41.3376,38.7975
41.3079,38.8876
41.2778,38.9799
41.2482,39.0702
41.2165,39.1666
41.1861,39.2559
41.1529,39.3497
41.1225,39.4359
41.0897,39.5286
41.0593,39.6146
41.0264,39.7075
41.0034,39.7915
40.9935,39.8771
40.9903,39.9955
40.988,40.0922
