latitude,longitude
51.4776,-0.4683
51.4773,-0.4899
51.4771,-0.508
51.4768,-0.5285
51.4714,-0.5503
51.4569,-0.5647
51.4361,-0.5636
51.418,-0.5444
51.4063,-0.5214
51.3944,-0.4961
51.3812,-0.4693
51.3631,-0.4319
51.337,-0.3772
51.3112,-0.3223
51.2835,-0.2611
51.2711,-0.2231
51.2598,-0.111
51.2533,-0.0319
51.2468,0.0474
51.2394,0.1365
51.2321,0.2238
51.2244,0.3154
51.2167,0.4131
51.2102,0.5008
51.203,0.5978
51.1961,0.6951
51.189,0.7967
51.1828,0.8921
51.177,0.9933
51.1718,1.0904
51.1676,1.1924
51.1635,1.2946
51.1594,1.3844
51.1544,1.436
51.1395,1.5588
51.127,1.6677
51.1157,1.7651
51.1029,1.8729
51.0904,1.9779
51.0771,2.0882
51.065,2.189
51.0513,2.3013
51.0377,2.4114
51.0244,2.5186
51.0099,2.6343
50.9958,2.7467
50.9815,2.8596
50.9666,2.9758
50.9519,3.0899
50.9371,3.2038
50.9228,3.3127
50.9075,3.4277
50.8925,3.5407
50.8768,3.6578
50.8615,3.7705
50.8454,3.8888
50.8298,4.0016
50.8145,4.1121
50.7985,4.2263
50.7826,4.3395
50.7665,4.453
50.7512,4.5609
50.7349,4.6737
50.7184,4.7871
50.702,4.8991
50.6859,5.0089
50.6692,5.1218
50.6469,5.2713
50.6298,5.3846
50.6122,5.5002
50.5956,5.609
50.5782,5.7216
50.5605,5.8365
50.5434,5.9457
50.526,6.0554
50.5087,6.1662
50.4909,6.2782
50.4732,6.3884
50.4551,6.5001
50.4373,6.6094
50.4199,6.7162
50.4016,6.8276
50.383,6.9396
50.3646,7.0503
50.3462,7.1594
50.3275,7.2703
50.3075,7.3879
50.2874,7.5051
50.2691,7.6111
50.251,7.7159
50.2312,7.8289
50.2099,7.9329
50.1869,8.0413
50.1645,8.1498
50.1421,8.2589
50.12,8.3656
50.098,8.4712
50.0757,8.5779
50.0525,8.6883
50.0312,8.7889
50.0081,8.8971
49.9864,8.9993
49.9632,9.1073
49.9408,9.2109
49.9021,9.3622
49.8717,9.468
49.8444,9.567
49.817,9.6677
49.7896,9.7678
49.7613,9.8708
49.7334,9.9713
49.7051,10.0733
49.6769,10.1745
49.6496,10.2716
49.6213,10.3724
49.5924,10.4747
49.5635,10.5761
49.5142,10.718
49.481,10.8097
49.4467,10.9078
49.4133,11.0032
49.38,11.0982
49.3475,11.191
49.3122,11.291
49.2792,11.3839
49.2455,11.4788
49.2128,11.57
49.1792,11.664
49.1457,11.7573
49.1135,11.8464
49.0795,11.9402
49.045,12.035
49.0126,12.1239
48.9791,12.2155
48.9452,12.3077
48.9124,12.3967
48.8778,12.4902
48.843,12.584
48.8087,12.676
48.775,12.766
48.7406,12.8578
48.7066,12.948
48.6706,13.0436
48.6362,13.134
48.6009,13.227
48.5667,13.3165
48.5322,13.4052
48.4753,13.5355
48.4402,13.6167
48.4027,13.7041
48.3654,13.7907
48.3281,13.8775
48.2911,13.9628
48.2531,14.0502
48.2145,14.1389
48.1773,14.2242
48.1388,14.3122
48.1001,14.4002
48.0631,14.484
48.026,14.5677
47.987,14.6558
47.9489,14.7412
47.9076,14.8339
47.8708,14.9158
47.8332,14.9995
47.7938,15.0868
47.7544,15.1739
47.7169,15.2565
47.6769,15.3443
47.6391,15.4272
47.5984,15.5163
47.5594,15.6009
47.5202,15.6859
47.4795,15.7739
47.4419,15.8551
47.4006,15.9439
47.3603,16.0302
47.3199,16.1163
47.2797,16.2019
47.2389,16.2887
47.2001,16.3707
47.1607,16.4539
47.1173,16.5451
47.0766,16.6303
47.0374,16.7123
46.9978,16.795
46.9576,16.8781
46.9153,16.9659
46.8755,17.0483
46.8353,17.1308
46.7951,17.2134
46.7561,17.293
46.7154,17.3762
46.6759,17.4565
46.6367,17.536
46.5932,17.6242
46.551,17.7091
46.5105,17.7905
46.4703,17.8711
46.4279,17.9558
46.3884,18.0345
46.3479,18.1152
46.3028,18.2041
46.2614,18.2857
46.2218,18.3643
46.1802,18.4459
46.1379,18.5286
46.0948,18.6125
46.0527,18.6946
46.0142,18.7693
45.9716,18.8519
45.931,18.923
45.8935,18.9775
45.8396,19.0513
45.7922,19.1171
45.7393,19.1911
45.691,19.2586
45.6419,19.3269
45.5922,19.3958
45.5421,19.4652
45.494,19.5316
45.4444,19.5997
45.3941,19.6689
45.3437,19.738
45.2947,19.805
45.2469,19.8701
45.2,19.9338
45.1491,20.0027
45.0914,20.0808
45.0438,20.145
44.9943,20.2115
44.9443,20.2785
44.8956,20.344
44.8469,20.4089
44.7993,20.4723
44.7508,20.5368
44.6992,20.6051
44.6614,20.6561
44.6073,20.7714
44.5707,20.8534
44.5338,20.9356
44.4978,21.0174
44.4631,21.0975
44.4276,21.1784
44.3924,21.2582
44.3565,21.3395
44.3209,21.4209
44.2856,21.5018
44.2513,21.5809
44.2155,21.6638
44.1807,21.7446
44.1466,21.8239
44.1114,21.9054
44.0769,21.9857
44.0424,22.0663
44.0062,22.1509
43.9739,22.2349
43.9425,22.3188
43.9098,22.4061
43.8786,22.4898
43.8471,22.5745
43.8153,22.6606
43.7825,22.7493
43.7513,22.8337
43.7195,22.9189
43.6856,23.0097
43.655,23.0933
43.6239,23.1794
43.5933,23.2638
43.5596,23.3561
43.5279,23.4428
43.5023,23.5287
43.4913,23.6615
43.4831,23.7636
43.4746,23.8671
43.4666,23.969
43.4585,24.0698
43.4505,24.1687
43.4421,24.2716
43.434,24.3686
43.4258,24.4662
43.4174,24.5648
43.4089,24.6646
43.4005,24.7626
43.3918,24.8616
43.3831,24.9601
43.3741,25.0605
43.3651,25.1612
43.3562,25.2594
43.347,25.3594
43.3351,25.4876
43.3256,25.5897
43.3159,25.6909
43.3065,25.7895
43.2969,25.8896
43.2871,25.9892
43.2772,26.0898
43.2675,26.1883
43.2574,26.2887
43.2475,26.3861
43.2366,26.4931
43.226,26.5959
43.2156,26.6962
43.2051,26.7964
43.1945,26.8966
43.1836,26.9987
43.173,27.098
43.1618,27.2009
43.1496,27.3123
43.1385,27.4125
43.1275,27.5117
43.1161,27.6134
43.1047,27.7143
43.0931,27.816
43.0817,27.9148
43.0705,28.0116
43.0583,28.1157
43.046,28.22
43.0342,28.3197
43.0223,28.4191
43.0105,28.5166
42.9985,28.6158
42.9865,28.7136
42.9744,28.8119
42.9619,28.9123
42.9499,29.0088
42.9375,29.107
42.9253,29.2036
42.9126,29.3028
42.8993,29.4057
42.8867,29.5027
42.874,29.5998
42.8585,29.718
42.8452,29.8184
42.8316,29.92
42.8184,30.0186
42.8046,30.1206
42.7913,30.2174
42.7786,30.3099
42.7655,30.405
42.751,30.5093
42.7367,30.608
42.7159,30.7135
42.6968,30.811
42.6782,30.906
42.6597,31.0003
42.641,31.0946
42.6183,31.2078
42.5995,31.3019
42.5799,31.3994
42.5609,31.4926
42.5417,31.5876
42.5223,31.6823
42.5035,31.7736
42.4833,31.8716
42.464,31.9648
42.4435,32.0635
42.4241,32.156
42.403,32.2563
42.3839,32.3471
42.3634,32.4438
42.3431,32.539
42.3305,32.6124
42.3117,32.7804
42.3004,32.8772
42.2891,32.9752
42.2779,33.0715
42.2666,33.1693
42.2556,33.263
42.2439,33.3615
42.2321,33.4597
42.2209,33.553
42.2091,33.6507
42.1975,33.7458
42.186,33.8396
42.1741,33.9355
42.1627,34.0278
42.1505,34.126
42.1389,34.2192
42.1271,34.3136
42.1149,34.4101
42.1035,34.4989
42.0893,34.6016
42.0762,34.6969
42.0633,34.7917
42.0478,34.9052
42.0265,35.0462
42.0168,35.1836
42.0119,35.2792
42.0065,35.3754
42.0016,35.4657
41.9962,35.5633
41.9892,35.6873
41.9838,35.7821
41.978,35.8803
41.9725,35.9749
41.967,36.0672
41.9612,36.1621
41.9554,36.2566
41.9496,36.3501
41.9436,36.4438
41.9376,36.5382
41.9316,36.6324
41.9255,36.7253
41.9192,36.82
41.9128,36.9142
41.9065,37.0079
41.9028,37.105
41.902,37.1976
41.9005,37.2905
41.8989,37.3848
41.8973,37.4803
41.8957,37.5718
41.8939,37.6671
41.8921,37.7622
41.8903,37.8553
41.8883,37.9486
41.8863,38.0402
41.8843,38.133
41.8814,38.259
41.8791,38.3517
41.8769,38.4438
41.8745,38.5334
41.8721,38.625
41.8689,38.7432
41.8659,38.8458
41.8632,38.9381
41.8605,39.0292
41.8575,39.1219
41.8546,39.2139
41.8513,39.3162
41.848,39.4179
41.8445,39.5151
41.8413,39.6073
41.838,39.7
41.8346,39.792
41.831,39.8879
41.8274,39.9814
41.8239,40.0701
41.8201,40.1661
41.8144,40.3026
41.81,40.4066
41.8061,40.4987
41.802,40.5932
41.7978,40.6862
41.7933,40.7795
41.7887,40.8712
41.7839,40.9651
41.7792,41.057
41.7746,41.1482
41.7688,41.257
41.7638,41.3513
41.7589,41.443
41.7534,41.541
41.7483,41.633
41.743,41.7259
41.7343,41.8764
41.7276,41.9901
41.7221,42.0816
41.7159,42.1831
