"tpr","fpr"
0.87,0.0125
0.85,0.0075
0.89,0.0125
0.92,0.03
0.89,0.0125
0.94,0.01
0.92,0.0325
0.91,0.0175
0.9,0.0225
0.95,0.02
0.87,0.0175
0.93,0.005
0.92,0.0075
0.92,0.0275
0.95,0.0225
0.9,0.0075
0.9,0.005
0.87,0.02
0.88,0.0175
0.89,0.0225
0.9,0.015
0.92,0.025
0.88,0.015
0.95,0.025
0.89,0.01
0.91,0.0275
0.92,0.02
0.92,0.01
0.91,0.005
0.97,0.025
0.9,0.005
0.88,0.0125
0.95,0.02
0.92,0.0175
0.95,0.01
0.94,0.0275
0.95,0.015
0.93,0.015
0.91,0.03
0.89,0.01
0.92,0.0175
0.93,0.035
0.94,0.02
0.91,0.025
0.94,0.0325
0.84,0.025
0.95,0.0075
0.91,0.0225
0.83,0.02
0.93,0.0275
0.95,0.0375
0.86,0.0275
0.84,0.0275
0.95,0.0125
0.91,0.005
0.89,0.0175
0.88,0.02
0.93,0.015
0.88,0.005
0.91,0.0175
0.91,0.0175
0.92,0.0125
0.95,0.015
0.88,0.0025
0.89,0.01
0.93,0.025
0.93,0.0075
0.91,0.0275
0.93,0.0325
0.89,0.015
0.9,0.0225
0.87,0.015
0.93,0.01
0.94,0.0125
0.87,0.0225
0.88,0.0175
0.85,0.0125
0.88,0.0225
0.9,0.0175
0.96,0.0075
0.91,0.0125
0.91,0.0175
0.9,0.0075
0.92,0.0225
0.95,0.0275
0.86,0.02
0.91,0.0175
0.91,0.01
0.9,0.0175
0.96,0.0425
0.85,0.0325
0.9,0.0125
0.94,0.0175
0.83,0.02
0.89,0.0125
0.9,0.0175
0.87,0.0125
0.93,0.03
0.93,0.035
0.89,0.0275
0.82,0.03
0.88,0.015
0.91,0.0275
0.91,0.005
0.88,0.0175
0.88,0.025
0.93,0.02
0.94,0.02
0.86,0.0175
0.92,0.02
0.9,0.025
0.91,0.0075
0.92,0.025
0.95,0.0225
0.89,0.01
0.91,0.03
0.91,0.015
0.86,0.005
0.93,0.015
0.89,0.02
0.86,0.03
0.9,0.0225
0.92,0.0275
0.88,0.015
0.92,0.01
0.93,0.0275
0.9,0.025
0.89,0.0225
0.91,0.0025
0.95,0.0125
0.94,0.02
0.89,0.02
0.9,0.02
0.87,0.015
0.93,0.0225
0.83,0.0175
0.87,0.02
0.9,0.025
0.89,0.0225
0.91,0.02
0.86,0.015
0.92,0.03
0.89,0.02
0.94,0.025
0.94,0.005
0.9,0.025
0.96,0.0325
0.92,0.0325
0.91,0.02
0.91,0.02
0.92,0.015
0.89,0.015
0.86,0.03
0.91,0.02
0.93,0.0225
0.85,0.01
0.93,0.015
0.94,0.01
0.9,0.02
0.9,0.0275
0.88,0.02
0.91,0.0125
0.86,0.02
0.9,0.0125
0.91,0.01
0.87,0.015
0.93,0.03
0.89,0.015
0.87,0.0125
0.9,0.005
0.89,0.0225
0.92,0.03
0.91,0.02
0.86,0.0025
0.91,0.025
0.9,0.005
0.87,0.0075
0.92,0.015
0.9,0.02
0.93,0.0075
0.89,0.0175
0.92,0.025
0.95,0.0225
0.87,0.0275
0.98,0.0175
0.84,0.01
0.89,0.015
0.89,0.035
0.87,0.0175
0.94,0.02
0.9,0.0175
0.9,0.03
0.89,0.0125
0.86,0.02
0.88,0.0325
0.91,0.025
0.89,0.0075
0.8,0.02
0.88,0.01
0.88,0.03
