"tpr","fpr"
0.65,0.005
0.74,0.0025
0.63,0.0125
0.57,0.005
0.59,0
0.58,0.01
0.58,0.0025
0.52,0
0.68,0.005
0.63,0.01
0.74,0.005
0.6,0.0025
0.75,0.01
0.63,0
0.53,0.0075
0.67,0.0025
0.7,0.0225
0.65,0.0125
0.6,0.005
0.68,0.015
0.6,0.0075
0.72,0.0075
0.79,0.0175
0.73,0.005
0.64,0
0.61,0.0025
0.58,0.0025
0.64,0.01
0.6,0.0075
0.68,0.01
0.66,0.005
0.68,0.0125
0.55,0.01
0.7,0.005
0.59,0.005
0.54,0.0025
0.65,0.0075
0.58,0.005
0.64,0.005
0.59,0.01
0.61,0.0075
0.69,0
0.68,0.01
0.54,0.015
0.59,0.015
0.66,0.0125
0.58,0.0175
0.63,0.0175
0.64,0.0075
0.74,0.01
0.67,0.01
0.57,0.005
0.7,0.0125
0.67,0.005
0.6,0.015
0.6,0.0025
0.57,0.005
0.67,0
0.56,0.0075
0.74,0.01
0.68,0.0175
0.71,0.0075
0.63,0
0.66,0.0025
0.59,0.0075
0.69,0.01
0.62,0.0075
0.49,0.0025
0.64,0
0.66,0.015
0.61,0.0025
0.72,0.01
0.72,0.005
0.7,0.005
0.72,0.0025
0.64,0.0075
0.6,0.015
0.64,0
0.59,0.0075
0.7,0.0125
0.68,0.0025
0.62,0.0025
0.57,0.0025
0.57,0.005
0.7,0.015
0.67,0.0275
0.62,0.0175
0.68,0.0025
0.66,0
0.65,0.005
0.68,0.005
0.6,0.0125
0.64,0.0025
0.69,0.0175
0.65,0.0025
0.62,0.005
0.56,0.005
0.66,0.005
0.72,0.02
0.56,0.0025
0.68,0.0125
0.74,0.005
0.66,0.0125
0.76,0.005
0.65,0.005
0.73,0.02
0.59,0.0075
0.71,0.0075
0.51,0.0025
0.69,0.0075
0.67,0.005
0.55,0
0.6,0.005
0.66,0.0175
0.54,0.0025
0.7,0
0.59,0.005
0.73,0.0125
0.68,0.01
0.62,0.02
0.65,0.0025
0.76,0.015
0.62,0.005
0.51,0.005
0.62,0.005
0.67,0
0.63,0.0025
0.66,0.0075
0.76,0.0075
0.69,0.0175
0.71,0.005
0.63,0.0025
0.71,0.015
0.61,0
0.59,0.015
0.64,0.0125
0.6,0.005
0.69,0.015
0.68,0.005
0.79,0.0025
0.7,0.01
0.59,0
0.58,0.01
0.64,0.0075
0.63,0.0025
0.66,0.0125
0.69,0.0025
0.66,0.005
0.6,0.0175
0.67,0.0025
0.58,0.01
0.71,0
0.71,0.0075
0.72,0.005
0.62,0.0075
0.62,0.0125
0.58,0.005
0.72,0.0025
0.61,0.0075
0.54,0.0075
0.7,0.0075
0.82,0.0275
0.61,0.01
0.63,0.01
0.6,0.0025
0.65,0.0075
0.64,0
0.61,0.0025
0.61,0
0.6,0.005
0.61,0.005
0.63,0.0125
0.52,0.0025
0.62,0.0175
0.65,0.0025
0.54,0.0125
0.68,0.01
0.61,0
0.64,0.0175
0.59,0.0025
0.62,0.0125
0.55,0
0.54,0.0025
0.63,0.0075
0.64,0.005
0.59,0.0075
0.66,0.015
0.6,0.005
0.65,0.005
0.62,0.015
0.62,0
0.69,0.005
0.58,0.01
0.73,0.005
0.57,0.015
0.66,0.0025
0.6,0.0075
0.71,0.01
0.59,0.01
0.57,0.0025
